name,address,phone,hours
台北曼哈頓,臺北市大安區市民大道4段77號,02-2781-5203,週一至週日：09:00~21:00
士林文林店,臺北市士林區文林路66號地下樓、文林路64號1樓,02-2883-1362,13:00-24:00
北投中和店,台北市北投區中庸里中和街317號1樓,02-2891-2103,11:00-22:00
大安通化店,台北市大安區通化街26-7號,02-2732-4986,12:00-24:00
大安建國南店,台北市大安區龍圖里建國南路2段25巷1號,02-2700-6598,10:00-21:00
士林文林二店,臺北市士林區文林路74號,02-2883-1359,13:00-24:00
台北總院,台北市大同區寧夏路1號1樓,02-2556-3320,週一至週日：24 小時營業
大同民族西店,台北市大同區民族西路224.226號,02-2585-8887,10:00-22:00
大直北安店,台北市中山區北安路554巷31號1樓及地下1樓,02-2533-5086,11:00-22:00
三重三和店,新北市三重區長安里三和路2段164號1樓及2樓,02-2976-0125,11:00-23:00
新莊旗艦店,新北市新莊區思源里中正路2號1樓,02-2996-0026,10:00-22:00
三重中正北店,"新北市三重區中正北路119號1樓及121號1,2樓",02-8982-0666,11:00-22:00
永和得和店,新北市永和區得和路409號1樓、2樓,02-2928-1233,11:00-22:00
新莊中正店,新北市新莊區立人里中正路102號.104號,02-2276-0002,10:00-22:00
土城中華店,新北市土城區中華路1段235號1樓,02-2261-7333,10:00-22:00
板橋雨農店,新北市板橋區雨農路54號1樓,02-2250-0070,10:00-22:00
新北八里店,新北市八里區中山路一段25號,02-2610-0018,10:00-22:00
羅東光榮店,宜蘭縣羅東鎮光榮路112號1樓,03-9542-077,10:00-21:00
宜蘭新生店,宜蘭縣宜蘭市筊白里004鄰中山路五段223號,03-9320-911,10:00-21:00
宜蘭員山店,宜蘭縣員山鄉員山路1段1號,03-9220-198,10:00-21:00
蘇澳中山店,宜蘭縣蘇澳鎮中山路1段313號,03-9960-086,09:00-21:00
羅東林場店,宜蘭縣羅東鎮興東路244-1號,03-9560-272,10:00-21:00
蘆竹南昌店,桃園市蘆竹區福昌里南昌路266號1樓、南順八街63號1樓,03-3120-236,11:00-22:00
龜山復興店,桃園市龜山區大湖里復興一路349.351.353號1F.2F,03-3975-001,10:00-22:00
桃園巨蛋店,桃園市龜山區萬壽路二段1379號,03-3490-666,10:00-22:00
龜山自強西店,桃園市龜山區自強西路118.120號,03-3592-111,11:00-21:00
蘆竹大新店,桃園市蘆竹區大新一街29號1樓,03-3136-566,10:00-22:00
觀音大觀店,桃園市觀音區四維路122號1樓,03-4761-008,10:00-22:00
中壢中央東店,桃園市中壢區中央東路13號和13-1號,03-4223-083,10:00-22:00
新竹經國店,新竹市北區經國路2段19號,03-5343-636,10:00-22:00
竹東長春店,新竹縣竹東鎮長春路3段224號1樓,03-5102-715,10:30-21:30
湖口中山店,新竹縣湖口鄉愛勢村中山路二段212號及214號,03-5903-375,10:00-22:00
竹北中正東店,新竹縣竹北市中正東路140之2號,03-5553-295,11:00-21:00
竹北成功店,新竹縣竹北市成功三路108號1樓,03-6585-189,10:30-21:30
新竹建興店,新竹縣新豐鄉建興路一段155-7號1樓及155-8號1樓,03-5577-673,10:00-22:00
