店名,買賣牌照,,特定寵物業許可證號
,犬,貓,
,55,64,
士林文林(貓館),,1,特寵業字第V1140417號
大直北安店,,,特寵業字第V1140419號
新莊中正店,,,特寵業字第A1140017號
永和得和店,,,特寵業字第A1140015號
土城中華店,1,1,特寵業字第A1140020號
板橋雨農店,,1,特寵業字第A1140016號
桃園巨蛋店,1,1,特寵業字第C1140455號
蘆竹大新店,1,1,特寵業字第C1140572號
蘆竹南昌店,,,特寵業字第C1140523號
觀音大觀店,1,1,特寵業字第C1140599號
頭份中華店,,1,特寵業字第E1140048號
苗栗縣府店,,,特寵業字第E1140050號
宜蘭新生店,,,特寵業字第B1140003號
羅東光榮店,,,特寵業字第B1140004號
吉安自強店,,,特寵業字第O1140022號
花蓮中正店,,,特寵業字第O1140020號
玉里和平店,,,特寵業字第O1140021號
宜蘭員山店,,,特寵業字第B1140002號
蘇澳中山店,,,特寵業字第B1140006號
羅東林場店,,,特寵業字第B1140005號
豐原圓環東店,1,1,特寵業字第S1140026號
北屯后庄北店,,1,特寵業字第S1140015號
台中北屯店,1,1,特寵業字第S1140024號
台中沙鹿店,1,1,特寵業字第S1140017號
北屯軍功店,,1,特寵業字第S1140014號
台中青海店,1,1,特寵業字第S1140016號
草屯明賢店,1,1,特寵業字第H1140128號
埔里中山店,1,1,特寵業字第H1140127號
員林三民東店,1,1,特寵業字第G1140005號
田中福安店,1,1,特寵業字第G1140007號
溪湖彰水店,1,1,特寵業字第G1140011號
北斗中華店,1,1,特寵業字第G1140004號
彰化中正店,1,1,特寵業字第G1140015號
和美彰美店,1,1,特寵業字第G1140006號
彰化中山店,1,1,特寵業字第G1140003號
斗六民生南店,1,1,特寵業字第I1140020號
北港民享店,1,1,特寵業字第I1150040號
西螺公正店,1,1,特寵業字第I1140039號
斗南延平店,1,1,特寵業字第I1140022號
嘉義北港店,1,1,特寵業字第T1140004號
嘉義友愛店,1,1,特寵業字第T1140002號
嘉義吳鳳南店,1,1,特寵業字第T1140003號
嘉義朴子店,,1,特寵業字第J1150106號
新營民生店,1,1,特寵業字第U1140781號
麻豆興中店,1,1,特寵業字第U1140779號
善化光復店,1,1,特寵業字第U1140778號
佳里新生店,1,1,特寵業字第U1140777號
安南海佃店,1,1,特寵業字第U1140782號
台南永康店,1,1,特寵業字第U1140787號
新市中正店,1,1,特寵業字第U1140774號
台南中華東店,1,1,特寵業字第U1140784號
台南西門店,1,1,特寵業字第U1140786號
仁德中山店,1,1,特寵業字第U1140783號
安平建平店,1,1,特寵業字第U1140788號
台南新興店,1,1,特寵業字第U1140785號
歸仁中山店,1,1,特寵業字第U1140776號
關廟南雄店,1,1, 特寵業字第U1140775號
岡山柳橋西店,1,1,特寵業字第W1141020號
左營左大店,,,特寵業字第W1141030號
楠梓藍昌店,,,特寵業字第W1141028號
楠梓興楠店,1,1,特寵業字第W1141029號
路竹中山店,,,特寵業字第W1141021號
仁武仁雄店,1,1,特寵業字第W1141022號
小港宏平店,1,1,特寵業字第W1141033號
前鎮瑞隆店,1,1,特寵業字第W1141113號
前金自立店,1,1,特寵業字第W1141034號
大寮鳳林店,,1,特寵業字第W1141042號
鳳山青年店,1,1,特寵業字第W1141036號
高雄林園東店,,,特寵業字第W1141019號
小港桂陽店,1,1,特寵業字第W1141032號
澎湖馬公店,1,1,特寵業字第P1140001號
三民十全店,,1,特寵業字第W1141038號
前金自強一店,,1,特寵業字第W1141040號
苓雅大順店,1,1,特寵業字第W1141031號
屏東自由店,1,1,特寵業字第M1140015號
東港中正店,1,1,特寵業字第M1140012號
潮州延平店,1,1,特寵業字第M1140009號
內埔學人店,1,1,特寵業字第M1140019號
恆春環城南店,1,1,特寵業字第M1140006號
屏東萬丹店,1,1,特寵業字第M1140008號
台東更生店,1,1,特寵業字第N1140002號
